email,date,login,total_views,unique_views,dashboard_name
jane@company.com,2025-06-02,1,8,3,WBR
jane@company.com,2025-06-09,2,16,6,QBR
alex@company.com,2025-06-02,1,5,2,WBR
maria@company.com,2025-06-16,3,30,10,Exec Metrics
maria@company.com,2025-07-07,2,22,8,Exec Metrics
jane@company.com,2025-07-01,1,5,2,Dashboard 001
alex@company.com,2025-07-02,2,6,3,Dashboard 002
maria@company.com,2025-07-03,3,7,4,Dashboard 003
user1000@company.com,2025-07-04,1,8,5,Dashboard 004
user1001@company.com,2025-07-05,2,9,6,Dashboard 005
user1002@company.com,2025-07-06,3,10,7,Dashboard 006
user1003@company.com,2025-07-07,1,11,8,Dashboard 007
user1004@company.com,2025-07-08,2,12,9,Dashboard 008
user1005@company.com,2025-07-09,3,13,10,Dashboard 009
user1006@company.com,2025-07-10,1,14,11,Dashboard 010
user1007@company.com,2025-07-11,2,15,2,Dashboard 011
user1008@company.com,2025-07-12,3,16,3,Dashboard 012
user1009@company.com,2025-07-13,1,17,4,Dashboard 013
user1010@company.com,2025-07-14,2,18,5,Dashboard 014
user1011@company.com,2025-07-15,3,19,6,Dashboard 015
user1012@company.com,2025-07-16,1,20,7,Dashboard 016
user1013@company.com,2025-07-17,2,21,8,Dashboard 017
user1014@company.com,2025-07-18,3,22,9,Dashboard 018
user1015@company.com,2025-07-19,1,23,10,Dashboard 019
user1016@company.com,2025-07-20,2,24,11,Dashboard 020
user1017@company.com,2025-07-21,3,25,2,Dashboard 021
user1018@company.com,2025-07-22,1,26,3,Dashboard 022
user1019@company.com,2025-07-23,2,27,4,Dashboard 023
user1020@company.com,2025-07-24,3,28,5,Dashboard 024
user1021@company.com,2025-07-25,1,29,6,Dashboard 025
user1022@company.com,2025-07-26,2,30,7,Dashboard 026
user1023@company.com,2025-07-27,3,31,8,Dashboard 027
user1024@company.com,2025-07-28,1,32,9,Dashboard 028
user1025@company.com,2025-07-29,2,33,10,Dashboard 029
user1026@company.com,2025-07-30,3,34,11,Dashboard 030
user1027@company.com,2025-07-31,1,35,2,Dashboard 031
user1028@company.com,2025-08-01,2,36,3,Dashboard 032
user1029@company.com,2025-08-02,3,37,4,Dashboard 033
user1030@company.com,2025-08-03,1,38,5,Dashboard 034
user1031@company.com,2025-08-04,2,39,6,Dashboard 035
user1032@company.com,2025-08-05,3,40,7,Dashboard 036
user1033@company.com,2025-08-06,1,41,8,Dashboard 037
user1034@company.com,2025-08-07,2,42,9,Dashboard 038
user1035@company.com,2025-08-08,3,43,10,Dashboard 039
user1036@company.com,2025-08-09,1,44,11,Dashboard 040
user1037@company.com,2025-08-10,2,5,2,Dashboard 041
user1038@company.com,2025-08-11,3,6,3,Dashboard 042
user1039@company.com,2025-08-12,1,7,4,Dashboard 043
user1040@company.com,2025-08-13,2,8,5,Dashboard 044
user1041@company.com,2025-08-14,3,9,6,Dashboard 045
user1042@company.com,2025-08-15,1,10,7,Dashboard 046
user1043@company.com,2025-08-16,2,11,8,Dashboard 047
user1044@company.com,2025-08-17,3,12,9,Dashboard 048
user1045@company.com,2025-08-18,1,13,10,Dashboard 049
user1046@company.com,2025-08-19,2,14,11,Dashboard 050
user1047@company.com,2025-08-20,3,15,2,Dashboard 051
user1048@company.com,2025-08-21,1,16,3,Dashboard 052
user1049@company.com,2025-08-22,2,17,4,Dashboard 053
user1050@company.com,2025-08-23,3,18,5,Dashboard 054
user1051@company.com,2025-08-24,1,19,6,Dashboard 055
user1052@company.com,2025-08-25,2,20,7,Dashboard 056
user1053@company.com,2025-08-26,3,21,8,Dashboard 057
user1054@company.com,2025-08-27,1,22,9,Dashboard 058
user1055@company.com,2025-08-28,2,23,10,Dashboard 059
user1056@company.com,2025-08-29,3,24,11,Dashboard 060
user1057@company.com,2025-07-01,1,25,2,Dashboard 061
user1058@company.com,2025-07-02,2,26,3,Dashboard 062
user1059@company.com,2025-07-03,3,27,4,Dashboard 063
user1060@company.com,2025-07-04,1,28,5,Dashboard 064
user1061@company.com,2025-07-05,2,29,6,Dashboard 065
user1062@company.com,2025-07-06,3,30,7,Dashboard 066
user1063@company.com,2025-07-07,1,31,8,Dashboard 067
user1064@company.com,2025-07-08,2,32,9,Dashboard 068
user1065@company.com,2025-07-09,3,33,10,Dashboard 069
user1066@company.com,2025-07-10,1,34,11,Dashboard 070
user1067@company.com,2025-07-11,2,35,2,Dashboard 071
user1068@company.com,2025-07-12,3,36,3,Dashboard 072
user1069@company.com,2025-07-13,1,37,4,Dashboard 073
user1070@company.com,2025-07-14,2,38,5,Dashboard 074
user1071@company.com,2025-07-15,3,39,6,Dashboard 075
user1072@company.com,2025-07-16,1,40,7,Dashboard 076
user1073@company.com,2025-07-17,2,41,8,Dashboard 077
user1074@company.com,2025-07-18,3,42,9,Dashboard 078
user1075@company.com,2025-07-19,1,43,10,Dashboard 079
user1076@company.com,2025-07-20,2,44,11,Dashboard 080
user1077@company.com,2025-07-21,3,5,2,Dashboard 081
user1078@company.com,2025-07-22,1,6,3,Dashboard 082
user1079@company.com,2025-07-23,2,7,4,Dashboard 083
user1080@company.com,2025-07-24,3,8,5,Dashboard 084
user1081@company.com,2025-07-25,1,9,6,Dashboard 085
user1082@company.com,2025-07-26,2,10,7,Dashboard 086
user1083@company.com,2025-07-27,3,11,8,Dashboard 087
user1084@company.com,2025-07-28,1,12,9,Dashboard 088
user1085@company.com,2025-07-29,2,13,10,Dashboard 089
user1086@company.com,2025-07-30,3,14,11,Dashboard 090
user1087@company.com,2025-07-31,1,15,2,Dashboard 091
user1088@company.com,2025-08-01,2,16,3,Dashboard 092
user1089@company.com,2025-08-02,3,17,4,Dashboard 093
user1090@company.com,2025-08-03,1,18,5,Dashboard 094
user1091@company.com,2025-08-04,2,19,6,Dashboard 095
user1092@company.com,2025-08-05,3,20,7,Dashboard 096
